Date,value
2020-02-21,3950.14
2020-02-22,3966.57
2020-02-23,4066.29
2020-02-24,4604.57
2020-02-25,5129.43
2020-02-26,6096.43
2020-02-27,7208.43
2020-02-28,8488.57
2020-02-29,9115.43
2020-03-01,9833.86
2020-03-02,10936.57
2020-03-03,12090.29
2020-03-04,12982.00
2020-03-05,13818.57
2020-03-06,14794.00
2020-03-07,15220.14
2020-03-08,15565.71
2020-03-09,17006.86
2020-03-10,18730.57
2020-03-11,21325.71
2020-03-12,25440.43
2020-03-13,28972.00
2020-03-14,30728.43
2020-03-15,32901.86
2020-03-16,36394.29
2020-03-17,39836.57
2020-03-18,42233.43
2020-03-19,43134.86
2020-03-20,43773.00
2020-03-21,43886.14
2020-03-22,43684.43
2020-03-23,43726.00
2020-03-24,43677.43
2020-03-25,43772.71
2020-03-26,43654.00
2020-03-27,43602.00
2020-03-28,43458.29
2020-03-29,43092.57
2020-03-30,43194.00
2020-03-31,42874.29
2020-04-01,42934.00
2020-04-02,43332.57
2020-04-03,43657.00
2020-04-04,43787.43
2020-04-05,44057.14
2020-04-06,43936.14
2020-04-07,44072.14
2020-04-08,43933.57
2020-04-09,43397.71
2020-04-10,42057.71
2020-04-11,41784.86
2020-04-12,41236.29
2020-04-13,40424.29
2020-04-14,40391.57
2020-04-15,40254.14
2020-04-16,40186.29
2020-04-17,40890.14
2020-04-18,40840.57
2020-04-19,40909.29
2020-04-20,41259.29
2020-04-21,41121.86
2020-04-22,40855.57
2020-04-23,40733.14
2020-04-24,40516.71
2020-04-25,40266.43
2020-04-26,40076.00
2020-04-27,39723.14
2020-04-28,39528.43
2020-04-29,39655.71
2020-04-30,39566.43
2020-05-01,39155.29
2020-05-02,39066.71
2020-05-03,39019.57
2020-05-04,38991.00
2020-05-05,38675.86
2020-05-06,38341.00
2020-05-07,38856.29
2020-05-08,39247.57
2020-05-09,39569.71
2020-05-10,39768.29
2020-05-11,40114.71
2020-05-12,40711.86
2020-05-13,40988.00
2020-05-14,40514.43
2020-05-15,40330.29
2020-05-16,40155.57
2020-05-17,40081.43
2020-05-18,39823.71
2020-05-19,39396.14
2020-05-20,38914.43
2020-05-21,38476.43
2020-05-22,37858.14
2020-05-23,37824.14
2020-05-24,37695.57
2020-05-25,34913.43
2020-05-26,34205.71
2020-05-27,34087.71
2020-05-28,33933.14
2020-05-29,33835.00
2020-05-30,33522.57
2020-05-31,33220.00
2020-06-01,34583.00
2020-06-02,33257.14
2020-06-03,32015.57
2020-06-04,30937.57
2020-06-05,30095.00
2020-06-06,29759.43
2020-06-07,29430.86
2020-06-08,29313.57
2020-06-09,29450.71
2020-06-10,29272.00
2020-06-11,29061.43
2020-06-12,29126.29
2020-06-13,29105.14
2020-06-14,29069.71
2020-06-15,29279.57
2020-06-16,29993.86
2020-06-17,30079.14
2020-06-18,30074.86
2020-06-19,29946.14
2020-06-20,30206.43
2020-06-21,30390.43
2020-06-22,30706.71
2020-06-23,30612.57
2020-06-24,31228.43
2020-06-25,31989.00
2020-06-26,32583.43
2020-06-27,32412.00
2020-06-28,32571.14
2020-06-29,32864.86
2020-06-30,33510.43
2020-07-01,33925.71
2020-07-02,33598.14
2020-07-03,32205.00
2020-07-04,32502.57
2020-07-05,32545.71
2020-07-06,32588.86
2020-07-07,32411.57
2020-07-08,32301.57
2020-07-09,32626.43
2020-07-10,33957.71
2020-07-11,34065.14
2020-07-12,33993.86
2020-07-13,33401.29
2020-07-14,33080.14
2020-07-15,33070.57
2020-07-16,33168.43
2020-07-17,33053.00
2020-07-18,32804.14
2020-07-19,32805.86
2020-07-20,33345.71
2020-07-21,33524.00
2020-07-22,33394.86
2020-07-23,33800.71
2020-07-24,34087.57
2020-07-25,34172.71
2020-07-26,34207.86
2020-07-27,34560.71
2020-07-28,35268.43
2020-07-29,35630.29
2020-07-30,35577.71
2020-07-31,35881.43
2020-08-01,36050.14
2020-08-02,36078.43
2020-08-03,35602.43
2020-08-04,35230.71
2020-08-05,35471.43
2020-08-06,35455.86
2020-08-07,35338.57
2020-08-08,35159.43
2020-08-09,35206.00
2020-08-10,35234.43
2020-08-11,34886.43
2020-08-12,33966.71
2020-08-13,33539.29
2020-08-14,32983.00
2020-08-15,32919.00
2020-08-16,32638.43
2020-08-17,32249.43
2020-08-18,31812.43
2020-08-19,31367.57
2020-08-20,30750.14
2020-08-21,30354.00
2020-08-22,30060.86
2020-08-23,30199.00
2020-08-24,30059.43
2020-08-25,29953.14
2020-08-26,29804.57
2020-08-27,29463.00
2020-08-28,29374.00
2020-08-29,29224.57
2020-08-30,28962.86
2020-08-31,28669.14
2020-09-01,28586.86
2020-09-02,28925.00
2020-09-03,29059.29
2020-09-04,28679.29
2020-09-05,28977.86
2020-09-06,28763.29
2020-09-07,26649.43
2020-09-08,26113.71
2020-09-09,25716.14
2020-09-10,25717.14
2020-09-11,25646.86
2020-09-12,25535.43
2020-09-13,25832.29
2020-09-14,27659.86
2020-09-15,27839.43
2020-09-16,27771.14
2020-09-17,27424.57
2020-09-18,27455.43
2020-09-19,27058.71
2020-09-20,26755.57
2020-09-21,26636.71
2020-09-22,26440.57
2020-09-23,25831.71
2020-09-24,25678.00
2020-09-25,25537.00
2020-09-26,25830.71
2020-09-27,25839.71
2020-09-28,25687.71
2020-09-29,25855.00
2020-09-30,26464.14
2020-10-01,26856.00
2020-10-02,28612.14
2020-10-03,29429.00
2020-10-04,30138.71
2020-10-05,31354.57
2020-10-06,32020.14
2020-10-07,32515.29
2020-10-08,33036.29
2020-10-09,31852.43
2020-10-10,31120.29
2020-10-11,30661.71
2020-10-12,29737.43
2020-10-13,29395.29
2020-10-14,28983.86
2020-10-15,28577.57
2020-10-16,28333.71
2020-10-17,28054.86
2020-10-18,27932.00
2020-10-19,27991.43
2020-10-20,27511.86
2020-10-21,27595.29
2020-10-22,27611.71
2020-10-23,27567.71
2020-10-24,27863.86
2020-10-25,28073.29
2020-10-26,27957.71
2020-10-27,28150.29
2020-10-28,28378.71
2020-10-29,28617.71
2020-10-30,29067.57
2020-10-31,29233.14
2020-11-01,29057.43
2020-11-02,29640.00
2020-11-03,29627.71
2020-11-04,28706.29
2020-11-05,28441.00
2020-11-06,27903.57
2020-11-07,27973.43
2020-11-08,28160.14
2020-11-09,28900.86
2020-11-10,29631.00
2020-11-11,30248.29
2020-11-12,30933.71
2020-11-13,31831.14
2020-11-14,31697.71
2020-11-15,31843.86
2020-11-16,31750.29
2020-11-17,31844.29
2020-11-18,32558.14
2020-11-19,32821.57
2020-11-20,32871.71
2020-11-21,32915.86
2020-11-22,32932.29
2020-11-23,32661.71
2020-11-24,32340.86
2020-11-25,31663.71
2020-11-26,28421.29
2020-11-27,26938.14
2020-11-28,26869.00
2020-11-29,26687.14
2020-11-30,26533.29
2020-12-01,26951.71
2020-12-02,27389.29
2020-12-03,30174.14
2020-12-04,31417.86
2020-12-05,31429.71
2020-12-06,31880.43
2020-12-07,32135.71
2020-12-08,32182.71
2020-12-09,32355.71
2020-12-10,32428.57
2020-12-11,32529.57
2020-12-12,32739.43
2020-12-13,32447.29
2020-12-14,32359.00
2020-12-15,32418.43
2020-12-16,32563.29
2020-12-17,32607.29
2020-12-18,32979.71
2020-12-19,33328.00
2020-12-20,33858.71
2020-12-21,33977.71
2020-12-22,33628.43
2020-12-23,32727.29
2020-12-24,30452.57
2020-12-25,26845.57
2020-12-26,26100.00
2020-12-27,25407.29
2020-12-28,24103.57
2020-12-29,23063.57
2020-12-30,22929.14
2020-12-31,23563.29
2021-01-01,24253.29
2021-01-02,24357.43
2021-01-03,24517.00
2021-01-04,25382.71
2021-01-05,26255.00
2021-01-06,25975.14
2021-01-07,25983.86
2021-01-08,28012.29
2021-01-09,27875.14
2021-01-10,27506.71
2021-01-11,27516.86
2021-01-12,27753.43
2021-01-13,28421.43
2021-01-14,29539.86
2021-01-15,29877.71
2021-01-16,30052.14
2021-01-17,30230.43
2021-01-18,28832.57
2021-01-19,28782.43
2021-01-20,28561.43
2021-01-21,28481.00
2021-01-22,28602.71
2021-01-23,28569.71
2021-01-24,28622.71
2021-01-25,30135.57
2021-01-26,30009.43
2021-01-27,30587.14
2021-01-28,31018.71
2021-01-29,30998.00
2021-01-30,30979.14
2021-01-31,31007.71
2021-02-01,30782.71
2021-02-02,30662.00
2021-02-03,30364.57
2021-02-04,29842.71
2021-02-05,29371.86
2021-02-06,29257.71
2021-02-07,29249.71
2021-02-08,29005.14
2021-02-09,28803.43
2021-02-10,28522.00
2021-02-11,28530.29
2021-02-12,28431.86
2021-02-13,28448.57
2021-02-14,28237.14
2021-02-15,26630.86
2021-02-16,26396.86
2021-02-17,26644.71
2021-02-18,26494.00
2021-02-19,26456.43
2021-02-20,26362.00
2021-02-21,26255.86
2021-02-22,27718.57
2021-02-23,27698.71
2021-02-24,27479.29
2021-02-25,27815.29
2021-02-26,28000.14
2021-02-27,28278.29
2021-02-28,28538.14
2021-03-01,28998.86
2021-03-02,29321.57
2021-03-03,29478.57
2021-03-04,29498.57
2021-03-05,29771.86
2021-03-06,29796.00
2021-03-07,29767.00
2021-03-08,29027.57
2021-03-09,28312.43
2021-03-10,28200.71
2021-03-11,28240.43
2021-03-12,27849.57
2021-03-13,27663.14
2021-03-14,27774.43
2021-03-15,28154.14
2021-03-16,28167.29
2021-03-17,27863.57
