Date,Value
2020-02-21,13
2020-02-22,16
2020-02-23,17.43
2020-02-24,17.57
2020-02-25,20
2020-02-26,23.86
2020-02-27,26.86
2020-02-28,31.71
2020-02-29,33.14
2020-03-01,42.14
2020-03-02,50.57
2020-03-03,71.57
2020-03-04,85.71
2020-03-05,104.29
2020-03-06,128.14
2020-03-07,160.43
2020-03-08,198.86
2020-03-09,272.86
2020-03-10,345
2020-03-11,446.43
2020-03-12,586.29
2020-03-13,750.43
2020-03-14,977.71
2020-03-15,1328.29
2020-03-16,1663
2020-03-17,2144.71
2020-03-18,2893.14
2020-03-19,3760.57
2020-03-20,4748.43
2020-03-21,5920.57
2020-03-22,7182.14
2020-03-23,8390.71
2020-03-24,9565.57
2020-03-25,10817.71
2020-03-26,12557.43
2020-03-27,14330.57
2020-03-28,15869.14
2020-03-29,17262
2020-03-30,18739.57
2020-03-31,20290.43
2020-04-01,22263.29
2020-04-02,23805.43
2020-04-03,25382.43
2020-04-04,27053.14
2020-04-05,27902.43
2020-04-06,28878.86
2020-04-07,29875.43
2020-04-08,30582.43
2020-04-09,31254.43
2020-04-10,31321.86
2020-04-11,31307.57
2020-04-12,31341.43
2020-04-13,30854.86
2020-04-14,30197.14
2020-04-15,29073.71
2020-04-16,28616.86
2020-04-17,28345.71
2020-04-18,27679.86
2020-04-19,27741.29
2020-04-20,27883.86
2020-04-21,27816.14
2020-04-22,28613.29
2020-04-23,28748.29
2020-04-24,29270.57
2020-04-25,30087.29
2020-04-26,30084.86
2020-04-27,29804.43
2020-04-28,29607.71
2020-04-29,29259.29
2020-04-30,29239.14
2020-05-01,28696.57
2020-05-02,27905.57
2020-05-03,27950.43
2020-05-04,27515.71
2020-05-05,27486
2020-05-06,26859.86
2020-05-07,26769
2020-05-08,26580
2020-05-09,26318.57
2020-05-10,25319
2020-05-11,25080.14
2020-05-12,25243.86
2020-05-13,25114.14
2020-05-14,24843.29
2020-05-15,24690.14
2020-05-16,24681
2020-05-17,24408.43
2020-05-18,25125.71
2020-05-19,24712.29
2020-05-20,25012.57
2020-05-21,24482.29
2020-05-22,24329.57
2020-05-23,23610.43
2020-05-24,23923.29
2020-05-25,23056.43
2020-05-26,22189.43
2020-05-27,21636.57
2020-05-28,21601.71
2020-05-29,21333
2020-05-30,21803.14
2020-05-31,21651.71
2020-06-01,21411.57
2020-06-02,22232.71
2020-06-03,22403.14
2020-06-04,22017.29
2020-06-05,22080.14
2020-06-06,22007.29
2020-06-07,21658.71
2020-06-08,21806.57
2020-06-09,21564.14
2020-06-10,21790.43
2020-06-11,21938.71
2020-06-12,22587.29
2020-06-13,22877.14
2020-06-14,23262.57
2020-06-15,23782.43
2020-06-16,24847.43
2020-06-17,25555.43
2020-06-18,26679.43
2020-06-19,27581
2020-06-20,29150.86
2020-06-21,30392.43
2020-06-22,31612.29
2020-06-23,33331.57
2020-06-24,34973.86
2020-06-25,37918.29
2020-06-26,40262.43
2020-06-27,41891.14
2020-06-28,43729.86
2020-06-29,45043.71
2020-06-30,46288.71
2020-07-01,49278.86
2020-07-02,50266.86
2020-07-03,51878.43
2020-07-04,52584.29
2020-07-05,52456
2020-07-06,53420.14
2020-07-07,55304.14
2020-07-08,56198.29
2020-07-09,57759
2020-07-10,59313.29
2020-07-11,61870.86
2020-07-12,64562.57
2020-07-13,65833
2020-07-14,66512
2020-07-15,67423.86
2020-07-16,67963.43
2020-07-17,68473.57
2020-07-18,68162.86
2020-07-19,67845.14
2020-07-20,68522.14
2020-07-21,68118.71
2020-07-22,67557.71
2020-07-23,67218.71
2020-07-24,66410.14
2020-07-25,64894.86
2020-07-26,64406.71
2020-07-27,63160.14
2020-07-28,62579.14
2020-07-29,61914.86
2020-07-30,61012.29
2020-07-31,60098.71
2020-08-01,59798.43
2020-08-02,58745.71
2020-08-03,57930.86
2020-08-04,57102.29
2020-08-05,56123.86
2020-08-06,54926.71
2020-08-07,53877.86
2020-08-08,53016.71
2020-08-09,52158.29
2020-08-10,51520.71
2020-08-11,51395.71
2020-08-12,50333.57
2020-08-13,49587.14
2020-08-14,48762.71
2020-08-15,47903.86
2020-08-16,47314.43
2020-08-17,46929
2020-08-18,45407.71
2020-08-19,44820.14
2020-08-20,44008.86
2020-08-21,42973
2020-08-22,42481.29
2020-08-23,41821.29
2020-08-24,41419.57
2020-08-25,41278.86
2020-08-26,41274.86
2020-08-27,41491.86
2020-08-28,41342.14
2020-08-29,41294.29
2020-08-30,41311.29
2020-08-31,41568.71
2020-09-01,41402.29
2020-09-02,40882.57
2020-09-03,40529
2020-09-04,41242.71
2020-09-05,41270.29
2020-09-06,40866.43
2020-09-07,38960.86
2020-09-08,37365.29
2020-09-09,36676.57
2020-09-10,36037.14
2020-09-11,35323
2020-09-12,35150.57
2020-09-13,35208.14
2020-09-14,36676.43
2020-09-15,38135.14
2020-09-16,39104.71
2020-09-17,39852.14
2020-09-18,40276.29
2020-09-19,40484.86
2020-09-20,40655
2020-09-21,41643.86
2020-09-22,43558.29
2020-09-23,43231.86
2020-09-24,43234.14
2020-09-25,43627.43
2020-09-26,43586.71
2020-09-27,43799.43
2020-09-28,43482.43
2020-09-29,41972
2020-09-30,42622.86
2020-10-01,42931.29
2020-10-02,43071.29
2020-10-03,44359.29
2020-10-04,44487.86
2020-10-05,44814.71
2020-10-06,45276.29
2020-10-07,46639.71
2020-10-08,47743.43
2020-10-09,48851.57
2020-10-10,49524.29
2020-10-11,50875.86
2020-10-12,51748.57
2020-10-13,53253
2020-10-14,53817
2020-10-15,54966
2020-10-16,56681.29
2020-10-17,56863
2020-10-18,57455.43
2020-10-19,59421.29
2020-10-20,60350.43
2020-10-21,61969.14
2020-10-22,63736.57
2020-10-23,65040.57
2020-10-24,67686.43
2020-10-25,69804
2020-10-26,71084.86
2020-10-27,73703.71
2020-10-28,75797.43
2020-10-29,78218.71
2020-10-30,80875.71
2020-10-31,83551.43
2020-11-01,85479.14
2020-11-02,88004
2020-11-03,91530.71
2020-11-04,96236
2020-11-05,101426.29
2020-11-06,107325.29
2020-11-07,112905.43
2020-11-08,117727.29
2020-11-09,123064.57
2020-11-10,130327
2020-11-11,136248.29
2020-11-12,141834.57
2020-11-13,148211.57
2020-11-14,153083.86
2020-11-15,157254.43
2020-11-16,161034.71
2020-11-17,163682.43
2020-11-18,167096.57
2020-11-19,171203.29
2020-11-20,173390
2020-11-21,174822.43
2020-11-22,176957.29
2020-11-23,178610.57
2020-11-24,179685.29
2020-11-25,182183.14
2020-11-26,175913.86
2020-11-27,171223.14
2020-11-28,166267.57
2020-11-29,164707.71
2020-11-30,164176.29
2020-12-01,167922.29
2020-12-02,171456.29
2020-12-03,183939.29
2020-12-04,194466.43
2020-12-05,204796.14
2020-12-06,209815.57
2020-12-07,213618.14
2020-12-08,216853.29
2020-12-09,217621.14
2020-12-10,215264.86
2020-12-11,217120.14
2020-12-12,218576.14
2020-12-13,219613.14
2020-12-14,220362.29
2020-12-15,215793.71
2020-12-16,216500.86
2020-12-17,219128.71
2020-12-18,217114.57
2020-12-19,214294.43
2020-12-20,213463.43
