Date,value
2020-02-21,0.14
2020-02-22,0.14
2020-02-23,0.14
2020-02-24,0.14
2020-02-25,0.14
2020-02-26,0.00
2020-02-27,0.14
2020-02-28,0.14
2020-02-29,0.29
2020-03-01,0.29
2020-03-02,1.14
2020-03-03,1.57
2020-03-04,1.86
2020-03-05,2.14
2020-03-06,2.71
2020-03-07,3.29
2020-03-08,4.00
2020-03-09,3.71
2020-03-10,4.14
2020-03-11,5.86
2020-03-12,6.43
2020-03-13,7.43
2020-03-14,8.71
2020-03-15,10.86
2020-03-16,13.29
2020-03-17,17.00
2020-03-18,25.14
2020-03-19,33.43
2020-03-20,46.43
2020-03-21,60.86
2020-03-22,77.29
2020-03-23,98.71
2020-03-24,127.57
2020-03-25,162.00
2020-03-26,203.14
2020-03-27,260.57
2020-03-28,321.86
2020-03-29,385.57
2020-03-30,473.29
2020-03-31,584.14
2020-04-01,702.43
2020-04-02,844.57
2020-04-03,971.71
2020-04-04,1120.71
2020-04-05,1312.00
2020-04-06,1448.57
2020-04-07,1608.71
2020-04-08,1763.43
2020-04-09,1891.14
2020-04-10,2009.29
2020-04-11,2103.00
2020-04-12,2100.71
2020-04-13,2132.86
2020-04-14,2188.71
2020-04-15,2255.71
2020-04-16,2283.43
2020-04-17,2297.29
2020-04-18,2250.43
2020-04-19,2268.14
2020-04-20,2295.57
2020-04-21,2308.86
2020-04-22,2245.57
2020-04-23,2177.71
2020-04-24,2147.00
2020-04-25,2138.00
2020-04-26,2073.00
2020-04-27,1990.14
2020-04-28,1922.00
2020-04-29,1942.00
2020-04-30,1980.71
2020-05-01,1950.00
2020-05-02,1907.57
2020-05-03,1892.43
2020-05-04,1858.71
2020-05-05,1902.14
2020-05-06,1888.57
2020-05-07,1869.86
2020-05-08,1834.29
2020-05-09,1823.00
2020-05-10,1773.00
2020-05-11,1746.14
2020-05-12,1617.57
2020-05-13,1525.29
2020-05-14,1479.14
2020-05-15,1460.86
2020-05-16,1420.14
2020-05-17,1398.71
2020-05-18,1382.57
2020-05-19,1334.86
2020-05-20,1286.14
2020-05-21,1186.14
2020-05-22,1228.00
2020-05-23,1188.43
2020-05-24,1168.71
2020-05-25,1127.57
2020-05-26,1084.00
2020-05-27,1085.14
2020-05-28,1097.14
2020-05-29,983.00
2020-05-30,977.43
2020-05-31,961.29
2020-06-01,958.00
2020-06-02,961.43
2020-06-03,919.86
2020-06-04,876.43
2020-06-05,855.14
2020-06-06,824.71
2020-06-07,806.43
2020-06-08,822.43
2020-06-09,814.00
2020-06-10,786.86
2020-06-11,782.86
2020-06-12,764.86
2020-06-13,763.14
2020-06-14,749.29
2020-06-15,714.86
2020-06-16,693.14
2020-06-17,670.86
2020-06-18,643.14
2020-06-19,638.00
2020-06-20,626.43
2020-06-21,614.29
2020-06-22,611.71
2020-06-23,620.57
2020-06-24,624.00
2020-06-25,629.14
2020-06-26,628.14
2020-06-27,630.57
2020-06-28,641.43
2020-06-29,635.00
2020-06-30,624.57
2020-07-01,636.86
2020-07-02,642.43
2020-07-03,656.29
2020-07-04,654.29
2020-07-05,667.00
2020-07-06,692.43
2020-07-07,730.29
2020-07-08,773.71
2020-07-09,798.43
2020-07-10,812.00
2020-07-11,856.29
2020-07-12,898.14
2020-07-13,919.71
2020-07-14,927.29
2020-07-15,938.71
2020-07-16,968.57
2020-07-17,999.43
2020-07-18,1016.43
2020-07-19,1033.43
2020-07-20,1056.57
2020-07-21,1101.14
2020-07-22,1105.43
2020-07-23,1128.71
2020-07-24,1163.43
2020-07-25,1185.14
2020-07-26,1178.71
2020-07-27,1191.00
2020-07-28,1192.14
2020-07-29,1196.86
2020-07-30,1211.43
2020-07-31,1211.43
2020-08-01,1210.14
2020-08-02,1207.71
2020-08-03,1194.14
2020-08-04,1176.14
2020-08-05,1177.86
2020-08-06,1160.43
2020-08-07,1154.71
2020-08-08,1133.71
2020-08-09,1124.57
2020-08-10,1110.86
2020-08-11,1113.00
2020-08-12,1114.14
2020-08-13,1106.71
2020-08-14,1065.71
2020-08-15,1057.29
2020-08-16,1063.29
2020-08-17,1050.43
2020-08-18,1022.00
2020-08-19,1012.29
2020-08-20,982.57
2020-08-21,979.71
2020-08-22,973.86
2020-08-23,953.43
2020-08-24,945.57
2020-08-25,937.43
2020-08-26,908.86
2020-08-27,902.57
2020-08-28,897.29
2020-08-29,886.00
2020-08-30,869.14
2020-08-31,856.14
2020-09-01,853.86
2020-09-02,825.86
2020-09-03,818.00
2020-09-04,802.29
2020-09-05,781.29
2020-09-06,784.57
2020-09-07,765.86
2020-09-08,717.14
2020-09-09,724.29
2020-09-10,711.57
2020-09-11,705.00
2020-09-12,694.71
2020-09-13,702.14
2020-09-14,699.57
2020-09-15,724.43
2020-09-16,745.00
2020-09-17,732.14
2020-09-18,728.57
2020-09-19,728.00
2020-09-20,693.57
2020-09-21,710.43
2020-09-22,699.14
2020-09-23,674.43
2020-09-24,674.00
2020-09-25,664.29
2020-09-26,670.43
2020-09-27,672.71
2020-09-28,652.86
2020-09-29,674.43
2020-09-30,635.14
2020-10-01,636.71
2020-10-02,646.43
2020-10-03,641.43
2020-10-04,651.43
2020-10-05,659.43
2020-10-06,634.29
2020-10-07,670.57
2020-10-08,667.14
2020-10-09,663.29
2020-10-10,670.86
2020-10-11,671.86
2020-10-12,674.14
2020-10-13,681.57
2020-10-14,687.29
2020-10-15,688.86
2020-10-16,705.43
2020-10-17,708.29
2020-10-18,729.43
2020-10-19,741.43
2020-10-20,754.86
2020-10-21,785.57
2020-10-22,809.14
2020-10-23,813.14
2020-10-24,826.43
2020-10-25,817.86
2020-10-26,831.57
2020-10-27,844.00
2020-10-28,838.71
2020-10-29,874.43
2020-10-30,886.14
2020-10-31,905.00
2020-11-01,912.14
2020-11-02,924.43
2020-11-03,954.57
2020-11-04,996.14
2020-11-05,1010.71
2020-11-06,1059.57
2020-11-07,1089.29
2020-11-08,1115.71
2020-11-09,1145.86
2020-11-10,1171.29
2020-11-11,1202.00
2020-11-12,1224.43
2020-11-13,1227.71
2020-11-14,1282.14
2020-11-15,1325.29
2020-11-16,1345.43
2020-11-17,1399.14
2020-11-18,1454.86
2020-11-19,1536.00
2020-11-20,1625.29
2020-11-21,1663.14
2020-11-22,1690.57
2020-11-23,1749.43
2020-11-24,1796.29
2020-11-25,1855.29
2020-11-26,1824.14
2020-11-27,1794.57
2020-11-28,1786.29
2020-11-29,1802.43
2020-11-30,1835.43
2020-12-01,1899.14
2020-12-02,1974.86
2020-12-03,2132.00
2020-12-04,2255.00
2020-12-05,2363.43
2020-12-06,2411.00
2020-12-07,2477.57
2020-12-08,2519.00
2020-12-09,2608.57
2020-12-10,2601.43
2020-12-11,2704.86
2020-12-12,2721.43
2020-12-13,2774.00
2020-12-14,2780.86
2020-12-15,2816.43
2020-12-16,2817.86
2020-12-17,2902.29
2020-12-18,2859.57
2020-12-19,2896.86
2020-12-20,2925.43
2020-12-21,2970.00
2020-12-22,3007.71
2020-12-23,2996.57
2020-12-24,2979.86
2020-12-25,2901.29
2020-12-26,2816.00
2020-12-27,2817.43
2020-12-28,2849.00
2020-12-29,2924.43
2020-12-30,3000.29
2020-12-31,3061.86
2021-01-01,3160.43
2021-01-02,3219.00
2021-01-03,3240.86
2021-01-04,3243.29
2021-01-05,3238.43
2021-01-06,3264.43
2021-01-07,3316.00
2021-01-08,3427.86
2021-01-09,3537.00
2021-01-10,3572.71
2021-01-11,3589.57
2021-01-12,3639.71
2021-01-13,3646.71
2021-01-14,3628.57
2021-01-15,3577.57
2021-01-16,3610.00
2021-01-17,3604.57
2021-01-18,3563.57
2021-01-19,3411.14
2021-01-20,3392.00
2021-01-21,3375.29
2021-01-22,3381.71
2021-01-23,3286.29
2021-01-24,3239.29
2021-01-25,3207.71
2021-01-26,3259.00
2021-01-27,3177.00
2021-01-28,3084.57
2021-01-29,3007.43
2021-01-30,2951.29
2021-01-31,2912.86
2021-02-01,2868.00
2021-02-02,2773.57
2021-02-03,2726.71
2021-02-04,2672.86
2021-02-05,2637.29
2021-02-06,2602.29
2021-02-07,2543.71
2021-02-08,2473.86
2021-02-09,2440.86
2021-02-10,2359.29
2021-02-11,2372.00
2021-02-12,2276.00
2021-02-13,2210.00
2021-02-14,2149.86
2021-02-15,2104.71
2021-02-16,1973.86
2021-02-17,1912.43
2021-02-18,1789.86
2021-02-19,1780.43
2021-02-20,1747.14
2021-02-21,1743.14
2021-02-22,1752.00
2021-02-23,1773.57
2021-02-24,1728.71
2021-02-25,1705.57
2021-02-26,1619.00
2021-02-27,1573.71
2021-02-28,1515.43
2021-03-01,1471.43
2021-03-02,1422.43
2021-03-03,1357.14
2021-03-04,1271.43
2021-03-05,1289.14
2021-03-06,1254.71
2021-03-07,1232.14
2021-03-08,1190.43
2021-03-09,1142.14
2021-03-10,1121.86
2021-03-11,1102.86
2021-03-12,1021.43
2021-03-13,980.43
2021-03-14,964.14
2021-03-15,939.14
2021-03-16,914.14
2021-03-17,859.71
2021-03-18,803.57
2021-03-19,796.71
2021-03-20,787.86
2021-03-21,773.14
2021-03-22,759.00
2021-03-23,734.00
2021-03-24,736.86
2021-03-25,745.29
2021-03-26,719.57
2021-03-27,712.00
2021-03-28,703.71
2021-03-29,701.71
2021-03-30,703.57
2021-03-31,702.00
2021-04-01,690.86
2021-04-02,667.71
2021-04-03,664.86
2021-04-04,663.29
2021-04-05,638.43
2021-04-06,638.14
2021-04-07,622.00
2021-04-08,626.00
2021-04-09,629.14
2021-04-10,623.86
2021-04-11,619.29
2021-04-12,639.14
2021-04-13,645.14
2021-04-14,640.29
2021-04-15,636.29
2021-04-16,644.71
2021-04-17,638.43
2021-04-18,643.43
2021-04-19,637.29
2021-04-20,633.00
2021-04-21,632.57
2021-04-22,631.57
2021-04-23,635.43
2021-04-24,644.29
2021-04-25,638.71
2021-04-26,638.00
2021-04-27,611.14
2021-04-28,620.71
2021-04-29,620.43
2021-04-30,607.57
2021-05-01,589.14
2021-05-02,586.71
2021-05-03,585.29
2021-05-04,606.86
2021-05-05,588.00
2021-05-06,577.86
2021-05-07,580.57
2021-05-08,580.43
2021-05-09,577.00
2021-05-10,566.29
2021-05-11,554.29
2021-05-12,557.57
2021-05-13,552.43
2021-05-14,542.57
2021-05-15,532.14
2021-05-16,536.71
2021-05-17,534.57
2021-05-18,532.86
2021-05-19,520.71
2021-05-20,510.86
2021-05-21,502.71
2021-05-22,497.43
2021-05-23,476.29
2021-05-24,473.00
2021-05-25,457.29
2021-05-26,446.86
2021-05-27,447.71
2021-05-28,437.71
2021-05-29,431.14
2021-05-30,430.43
2021-05-31,415.57
2021-06-01,393.14
2021-06-02,389.71
2021-06-03,378.57
2021-06-04,378.29
2021-06-05,373.86
2021-06-06,368.86
2021-06-07,378.57
2021-06-08,375.43
2021-06-09,357.57
2021-06-10,350.14
2021-06-11,324.57
2021-06-12,321.43
2021-06-13,312.29
2021-06-14,295.57
2021-06-15,295.43
2021-06-16,293.00
2021-06-17,277.00
2021-06-18,260.71
2021-06-19,248.14
2021-06-20,252.43
2021-06-21,258.71
2021-06-22,255.71
2021-06-23,252.86
2021-06-24,251.43
2021-06-25,264.29
2021-06-26,261.71
2021-06-27,254.86
2021-06-28,246.71
2021-06-29,244.00
2021-06-30,234.86
2021-07-01,229.57
2021-07-02,222.86
2021-07-03,218.43
2021-07-04,216.71
2021-07-05,207.14
2021-07-06,197.71
2021-07-07,196.71
2021-07-08,193.71
2021-07-09,193.57
2021-07-10,192.71
2021-07-11,194.14
2021-07-12,207.00
2021-07-13,225.71
2021-07-14,236.29
2021-07-15,251.43
2021-07-16,256.00
2021-07-17,262.00
2021-07-18,265.71
2021-07-19,270.43
2021-07-20,268.00
2021-07-21,280.29
2021-07-22,284.29
2021-07-23,296.14
2021-07-24,312.71
2021-07-25,328.86
2021-07-26,346.43
2021-07-27,374.14
2021-07-28,383.00
2021-07-29,405.00
2021-07-30,424.57
2021-07-31,441.43
2021-08-01,459.14
2021-08-02,485.14
2021-08-03,515.14
2021-08-04,554.14
2021-08-05,590.29
2021-08-06,633.00
2021-08-07,668.29
2021-08-08,694.57
2021-08-09,728.29
2021-08-10,768.43
2021-08-11,807.29
2021-08-12,845.86
2021-08-13,893.57
2021-08-14,922.57
2021-08-15,951.14
2021-08-16,965.86
2021-08-17,1001.14
2021-08-18,1070.14
2021-08-19,1115.71
2021-08-20,1164.86
2021-08-21,1206.14
2021-08-22,1224.57
2021-08-23,1271.00
2021-08-24,1330.43
2021-08-25,1354.71
2021-08-26,1408.57
2021-08-27,1450.71
2021-08-28,1485.14
2021-08-29,1527.14
2021-08-30,1545.86
2021-08-31,1557.29
2021-09-01,1592.29
2021-09-02,1623.00
2021-09-03,1637.57
2021-09-04,1643.71
2021-09-05,1648.00
2021-09-06,1620.86
2021-09-07,1602.43
2021-09-08,1620.71
2021-09-09,1642.14
2021-09-10,1682.86
2021-09-11,1699.71
2021-09-12,1705.14
2021-09-13,1732.29
2021-09-14,1827.29
2021-09-15,1838.14
2021-09-16,1820.29
2021-09-17,1808.86
2021-09-18,1798.57
2021-09-19,1787.00
2021-09-20,1782.71
2021-09-21,1771.71
2021-09-22,1758.43
2021-09-23,1757.86
2021-09-24,1771.57
2021-09-25,1755.14
2021-09-26,1736.00
2021-09-27,1732.14
2021-09-28,1700.57
2021-09-29,1704.71
2021-09-30,1672.00
2021-10-01,1639.29
2021-10-02,1607.71
2021-10-03,1585.14
2021-10-04,1545.43
2021-10-05,1538.86
2021-10-06,1506.71
2021-10-07,1471.86
2021-10-08,1473.00
2021-10-09,1432.71
2021-10-10,1403.71
2021-10-11,1349.43
2021-10-12,1331.00
2021-10-13,1314.00
2021-10-14,1306.43
2021-10-15,1264.14
2021-10-16,1406
2021-10-17,1400
2021-10-18,1450
2021-10-19,1435.43
2021-10-20,1431.29
2021-10-21,1427.71
2021-10-22,1412.14
2021-10-23,1374.86
2021-10-24,1323.43
2021-10-25,1285.14
2021-10-26,1309.86
2021-10-27,1303.57
2021-10-28,1266.43
2021-10-29,1246.29
2021-10-30,1214.57
2021-10-31,1208.29
2021-11-01,1229.71
2021-11-02,1146.57
2021-11-03,1108.57
2021-11-04,1099.71
2021-11-05,1074.14
2021-11-06,1078.57
2021-11-07,1071.86
2021-11-08,1072.14
2021-11-09,1094.86
2021-11-10,1068.43
2021-11-11,1033.14
2021-11-12,1053
2021-11-13,1063.14
2021-11-14,1057.86
2021-11-15,1042.14
2021-11-16,1022.71
2021-11-17,1023.71
2021-11-18,1042
2021-11-19,1026
2021-11-20,1000.57
2021-11-21,994.43
2021-11-22,1007.29
2021-11-23,1020.57
2021-11-24,1014
2021-11-25,925.29
2021-11-26,779
2021-11-27,756.14
2021-11-28,759.71
2021-11-29,828
2021-11-30,836.29
2021-12-01,884.29
2021-12-02,993.43
2021-12-03,1122.43
2021-12-04,1174.29
2021-12-05,1185.57
2021-12-06,1135.29
2021-12-07,1168.71
2021-12-08,1129.29
2021-12-09,1117.57
2021-12-10,1167.57
2021-12-11,1156.43
2021-12-12,1159
2021-12-13,1160.86
2021-12-14,1168.71
2021-12-15,1223.29
2021-12-16,1216
2021-12-17,1219
2021-12-18,1231.57
