Date,Parks
2020-02-21,11.57
2020-02-22,12.71
2020-02-23,13.71
2020-02-24,11.00
2020-02-25,11.43
2020-02-26,11.00
2020-02-27,12.14
2020-02-28,13.00
2020-02-29,12.71
2020-03-01,12.00
2020-03-02,12.14
2020-03-03,13.71
2020-03-04,15.43
2020-03-05,16.71
2020-03-06,17.00
2020-03-07,18.14
2020-03-08,21.29
2020-03-09,24.29
2020-03-10,24.00
2020-03-11,25.29
2020-03-12,25.00
2020-03-13,23.86
2020-03-14,20.14
2020-03-15,15.14
2020-03-16,10.57
2020-03-17,9.14
2020-03-18,6.29
2020-03-19,3.86
2020-03-20,3.00
2020-03-21,2.14
2020-03-22,-0.29
2020-03-23,-3.43
2020-03-24,-6.00
2020-03-25,-7.86
2020-03-26,-7.71
2020-03-27,-8.43
2020-03-28,-11.57
2020-03-29,-12.57
2020-03-30,-11.43
2020-03-31,-12.29
2020-04-01,-12.29
2020-04-02,-14.00
2020-04-03,-16.00
2020-04-04,-15.86
2020-04-05,-16.00
2020-04-06,-15.29
2020-04-07,-13.29
2020-04-08,-13.14
2020-04-09,-14.86
2020-04-10,-14.86
2020-04-11,-13.71
2020-04-12,-16.00
2020-04-13,-19.00
2020-04-14,-20.86
2020-04-15,-22.29
2020-04-16,-21.29
2020-04-17,-21.43
2020-04-18,-22.00
2020-04-19,-18.29
2020-04-20,-14.86
2020-04-21,-13.86
2020-04-22,-12.86
2020-04-23,-12.86
2020-04-24,-11.71
2020-04-25,-8.57
2020-04-26,-8.71
2020-04-27,-8.29
2020-04-28,-6.29
2020-04-29,-6.00
2020-04-30,-5.00
2020-05-01,-2.00
2020-05-02,1.71
2020-05-03,6.43
2020-05-04,7.71
2020-05-05,7.57
2020-05-06,9.43
2020-05-07,13.43
2020-05-08,12.14
2020-05-09,9.43
2020-05-10,7.14
2020-05-11,6.00
2020-05-12,6.71
2020-05-13,8.43
2020-05-14,7.86
2020-05-15,11.14
2020-05-16,14.43
2020-05-17,16.00
2020-05-18,16.71
2020-05-19,17.43
2020-05-20,18.14
2020-05-21,20.14
2020-05-22,21.57
2020-05-23,23.14
2020-05-24,28.86
2020-05-25,37.14
2020-05-26,39.00
2020-05-27,40.29
2020-05-28,39.57
2020-05-29,39.29
2020-05-30,40.00
2020-05-31,38.57
2020-06-01,34.00
2020-06-02,35.00
2020-06-03,35.14
2020-06-04,37.14
2020-06-05,37.86
2020-06-06,38.29
2020-06-07,39.14
2020-06-08,40.71
2020-06-09,40.86
2020-06-10,41.86
2020-06-11,43.14
2020-06-12,46.43
2020-06-13,49.71
2020-06-14,51.86
2020-06-15,52.71
2020-06-16,55.71
2020-06-17,58.29
2020-06-18,59.71
2020-06-19,60.14
2020-06-20,59.43
2020-06-21,58.14
2020-06-22,57.86
2020-06-23,57.43
2020-06-24,57.29
2020-06-25,58.00
2020-06-26,57.57
2020-06-27,56.57
2020-06-28,56.00
2020-06-29,56.43
2020-06-30,55.86
2020-07-01,55.43
2020-07-02,57.29
2020-07-03,61.43
2020-07-04,64.14
2020-07-05,63.86
2020-07-06,64.14
2020-07-07,64.29
2020-07-08,64.00
2020-07-09,61.43
2020-07-10,55.29
2020-07-11,52.57
2020-07-12,54.14
2020-07-13,54.86
2020-07-14,56.00
2020-07-15,56.57
2020-07-16,57.00
2020-07-17,58.57
2020-07-18,60.29
2020-07-19,59.71
2020-07-20,59.43
2020-07-21,58.71
2020-07-22,57.43
2020-07-23,56.43
2020-07-24,56.57
2020-07-25,57.00
2020-07-26,57.71
2020-07-27,57.29
2020-07-28,57.14
2020-07-29,58.43
2020-07-30,58.57
2020-07-31,58.71
2020-08-01,57.57
2020-08-02,55.71
2020-08-03,55.57
2020-08-04,54.86
2020-08-05,55.57
2020-08-06,56.43
2020-08-07,56.57
2020-08-08,58.00
2020-08-09,60.00
2020-08-10,60.00
2020-08-11,61.29
2020-08-12,59.86
2020-08-13,58.57
2020-08-14,58.00
2020-08-15,56.29
2020-08-16,53.71
2020-08-17,53.00
2020-08-18,52.00
2020-08-19,51.00
2020-08-20,51.00
2020-08-21,50.29
2020-08-22,50.14
2020-08-23,50.43
2020-08-24,49.00
2020-08-25,47.14
2020-08-26,46.86
2020-08-27,45.14
2020-08-28,43.57
2020-08-29,41.14
2020-08-30,42.43
2020-08-31,42.14
2020-09-01,42.00
2020-09-02,41.00
2020-09-03,41.57
2020-09-04,44.14
2020-09-05,48.71
2020-09-06,51.86
2020-09-07,58.29
2020-09-08,56.57
2020-09-09,55.00
2020-09-10,52.43
2020-09-11,49.57
2020-09-12,45.14
2020-09-13,39.00
2020-09-14,32.57
2020-09-15,34.29
2020-09-16,36.00
2020-09-17,37.00
2020-09-18,37.00
2020-09-19,38.71
2020-09-20,39.86
2020-09-21,39.14
2020-09-22,38.00
2020-09-23,36.71
2020-09-24,35.43
2020-09-25,34.00
2020-09-26,32.57
2020-09-27,31.00
2020-09-28,29.14
2020-09-29,26.71
2020-09-30,25.29
2020-10-01,24.71
2020-10-02,23.71
2020-10-03,22.29
2020-10-04,20.86
2020-10-05,21.29
2020-10-06,23.29
2020-10-07,24.29
2020-10-08,25.43
2020-10-09,27.14
2020-10-10,27.71
2020-10-11,27.71
2020-10-12,26.86
2020-10-13,25.86
2020-10-14,26.00
2020-10-15,25.14
2020-10-16,22.00
2020-10-17,21.29
2020-10-18,20.29
2020-10-19,19.57
2020-10-20,18.43
2020-10-21,16.71
2020-10-22,16.29
2020-10-23,16.57
2020-10-24,14.71
2020-10-25,12.29
2020-10-26,10.43
2020-10-27,9.14
2020-10-28,7.00
2020-10-29,3.29
2020-10-30,2.00
2020-10-31,1.86
2020-11-01,1.00
2020-11-02,1.43
2020-11-03,3.29
2020-11-04,4.14
2020-11-05,6.00
2020-11-06,6.71
2020-11-07,6.14
2020-11-08,8.71
2020-11-09,9.14
2020-11-10,6.86
2020-11-11,4.86
2020-11-12,2.14
2020-11-13,-0.29
2020-11-14,-3.29
2020-11-15,-6.29
2020-11-16,-7.29
2020-11-17,-8.71
2020-11-18,-9.14
2020-11-19,-8.29
2020-11-20,-7.43
2020-11-21,-7.14
2020-11-22,-7.86
2020-11-23,-8.14
2020-11-24,-7.71
2020-11-25,-6.86
2020-11-26,-7.86
2020-11-27,-6.86
2020-11-28,-7.57
2020-11-29,-7.43
2020-11-30,-9.57
2020-12-01,-10.86
2020-12-02,-12.14
2020-12-03,-12.14
2020-12-04,-14.86
2020-12-05,-16.00
2020-12-06,-16.29
2020-12-07,-15.57
2020-12-08,-15.57
2020-12-09,-15.00
2020-12-10,-14.43
2020-12-11,-14.29
2020-12-12,-14.57
2020-12-13,-14.86
2020-12-14,-15.71
2020-12-15,-16.14
2020-12-16,-18.29
2020-12-17,-20.43
2020-12-18,-21.29
2020-12-19,-22.00
2020-12-20,-22.43
2020-12-21,-19.71
2020-12-22,-17.57
2020-12-23,-14.86
2020-12-24,-14.43
2020-12-25,-16.71
2020-12-26,-17.43
2020-12-27,-16.43
2020-12-28,-16.86
2020-12-29,-17.14
2020-12-30,-17.57
2020-12-31,-16.29
2021-01-01,-13.86
2021-01-02,-12.86
