Date,Residential
2020-02-21,0.71
2020-02-22,0.71
2020-02-23,0.71
2020-02-24,0.00
2020-02-25,-0.14
2020-02-26,-0.29
2020-02-27,-0.43
2020-02-28,-0.57
2020-02-29,-0.71
2020-03-01,-0.71
2020-03-02,-0.86
2020-03-03,-1.00
2020-03-04,-1.00
2020-03-05,-1.14
2020-03-06,-1.14
2020-03-07,-1.00
2020-03-08,-1.00
2020-03-09,-0.86
2020-03-10,-0.57
2020-03-11,-0.43
2020-03-12,-0.14
2020-03-13,0.43
2020-03-14,1.00
2020-03-15,1.57
2020-03-16,2.71
2020-03-17,4.14
2020-03-18,6.00
2020-03-19,8.00
2020-03-20,9.86
2020-03-21,11.14
2020-03-22,12.29
2020-03-23,13.57
2020-03-24,14.71
2020-03-25,15.57
2020-03-26,16.29
2020-03-27,17.00
2020-03-28,17.43
2020-03-29,17.57
2020-03-30,17.86
2020-03-31,18.00
2020-04-01,18.14
2020-04-02,18.29
2020-04-03,18.43
2020-04-04,18.43
2020-04-05,18.57
2020-04-06,18.71
2020-04-07,18.86
2020-04-08,19.00
2020-04-09,19.14
2020-04-10,19.43
2020-04-11,19.29
2020-04-12,19.29
2020-04-13,19.43
2020-04-14,19.29
2020-04-15,19.14
2020-04-16,19.00
2020-04-17,18.71
2020-04-18,18.71
2020-04-19,18.43
2020-04-20,18.14
2020-04-21,18.14
2020-04-22,18.14
2020-04-23,18.14
2020-04-24,18.00
2020-04-25,17.71
2020-04-26,17.71
2020-04-27,17.57
2020-04-28,16.43
2020-04-29,16.29
2020-04-30,16.00
2020-05-01,15.57
2020-05-02,15.29
2020-05-03,14.86
2020-05-04,14.57
2020-05-05,15.29
2020-05-06,15.00
2020-05-07,14.71
2020-05-08,14.71
2020-05-09,14.57
2020-05-10,14.43
2020-05-11,14.43
2020-05-12,14.29
2020-05-13,14.14
2020-05-14,14.14
2020-05-15,13.86
2020-05-16,13.86
2020-05-17,14.00
2020-05-18,13.86
2020-05-19,13.71
2020-05-20,13.57
2020-05-21,13.29
2020-05-22,13.14
2020-05-23,12.86
2020-05-24,12.43
2020-05-25,13.14
2020-05-26,13.00
2020-05-27,12.86
2020-05-28,12.71
2020-05-29,12.57
2020-05-30,12.43
2020-05-31,12.43
2020-06-01,11.29
2020-06-02,11.14
2020-06-03,11.00
2020-06-04,10.86
2020-06-05,10.71
2020-06-06,10.57
2020-06-07,10.43
2020-06-08,10.29
2020-06-09,10.14
2020-06-10,10.00
2020-06-11,9.86
2020-06-12,9.57
2020-06-13,9.43
2020-06-14,9.29
2020-06-15,9.29
2020-06-16,9.14
2020-06-17,9.00
2020-06-18,8.86
2020-06-19,8.57
2020-06-20,8.43
2020-06-21,8.29
2020-06-22,8.29
2020-06-23,8.29
2020-06-24,8.29
2020-06-25,8.29
2020-06-26,8.57
2020-06-27,8.71
2020-06-28,8.86
2020-06-29,8.71
2020-06-30,8.71
2020-07-01,8.57
2020-07-02,8.43
