Date,Value
2020-02-21,-3.00
2020-02-22,-2.71
2020-02-23,-2.43
2020-02-24,1.43
2020-02-25,1.71
2020-02-26,1.86
2020-02-27,2.14
2020-02-28,2.43
2020-02-29,2.43
2020-03-01,2.57
2020-03-02,2.57
2020-03-03,2.57
2020-03-04,2.71
2020-03-05,2.86
2020-03-06,2.86
2020-03-07,3.00
2020-03-08,2.86
2020-03-09,2.43
2020-03-10,1.86
2020-03-11,1.29
2020-03-12,0.43
2020-03-13,-0.86
2020-03-14,-1.71
2020-03-15,-3.00
2020-03-16,-5.86
2020-03-17,-9.43
2020-03-18,-13.71
2020-03-19,-18.00
2020-03-20,-22.14
2020-03-21,-25.43
2020-03-22,-28.86
2020-03-23,-31.86
2020-03-24,-34.43
2020-03-25,-36.57
2020-03-26,-38.57
2020-03-27,-40.00
2020-03-28,-41.43
2020-03-29,-42.43
2020-03-30,-43.43
2020-03-31,-44.00
2020-04-01,-44.43
2020-04-02,-44.86
2020-04-03,-45.43
2020-04-04,-45.86
2020-04-05,-46.14
2020-04-06,-46.43
2020-04-07,-46.71
2020-04-08,-47.00
2020-04-09,-47.29
2020-04-10,-48.14
2020-04-11,-48.29
2020-04-12,-49.00
2020-04-13,-49.14
2020-04-14,-49.00
2020-04-15,-48.71
2020-04-16,-48.29
2020-04-17,-47.14
2020-04-18,-46.43
2020-04-19,-45.29
2020-04-20,-44.86
2020-04-21,-44.71
2020-04-22,-44.71
2020-04-23,-44.71
2020-04-24,-44.71
2020-04-25,-44.57
2020-04-26,-44.43
2020-04-27,-44.14
2020-04-28,-44.00
2020-04-29,-43.71
2020-04-30,-43.43
2020-05-01,-43.00
2020-05-02,-42.57
2020-05-03,-41.86
2020-05-04,-41.57
2020-05-05,-41.14
2020-05-06,-40.71
2020-05-07,-40.29
2020-05-08,-40.00
2020-05-09,-39.57
2020-05-10,-39.00
2020-05-11,-38.71
2020-05-12,-38.43
2020-05-13,-38.14
2020-05-14,-38.00
2020-05-15,-37.86
2020-05-16,-37.57
2020-05-17,-37.29
2020-05-18,-37.00
2020-05-19,-36.71
2020-05-20,-36.57
2020-05-21,-36.29
2020-05-22,-36.14
2020-05-23,-35.71
2020-05-24,-35.57
2020-05-25,-40.14
2020-05-26,-39.86
2020-05-27,-39.43
2020-05-28,-39.00
2020-05-29,-38.43
2020-05-30,-37.14
2020-05-31,-36.00
2020-06-01,-31.00
2020-06-02,-30.71
2020-06-03,-30.57
2020-06-04,-30.43
2020-06-05,-30.29
2020-06-06,-30.43
2020-06-07,-30.43
2020-06-08,-30.29
2020-06-09,-30.14
2020-06-10,-30.00
2020-06-11,-29.86
2020-06-12,-29.71
2020-06-13,-29.29
2020-06-14,-28.86
2020-06-15,-28.71
2020-06-16,-28.71
2020-06-17,-28.71
2020-06-18,-28.71
2020-06-19,-28.86
2020-06-20,-29.00
2020-06-21,-29.00
2020-06-22,-29.43
2020-06-23,-29.71
2020-06-24,-29.71
2020-06-25,-29.71
2020-06-26,-29.71
2020-06-27,-29.86
2020-06-28,-29.71
2020-06-29,-29.43
2020-06-30,-29.29
2020-07-01,-29.43
2020-07-02,-29.86
2020-07-03,-32.86
2020-07-04,-35.14
2020-07-05,-36.14
2020-07-06,-36.86
2020-07-07,-37.14
2020-07-08,-37.14
2020-07-09,-37.00
2020-07-10,-34.14
2020-07-11,-31.86
2020-07-12,-31.29
2020-07-13,-30.86
2020-07-14,-30.71
2020-07-15,-30.71
2020-07-16,-30.57
2020-07-17,-30.57
2020-07-18,-30.71
2020-07-19,-30.86
2020-07-20,-30.86
2020-07-21,-30.86
2020-07-22,-30.86
2020-07-23,-30.86
2020-07-24,-30.86
2020-07-25,-30.86
2020-07-26,-30.86
